filename,timestamp,total_time_seconds,train_dataset_size,test_dataset_size,model_type,model_name_full,train_accuracy,test_accuracy,overfitting_score,f1_macro,f1_weighted,training_time,tfidf_max_features,tfidf_ngram_range,tfidf_min_df,tfidf_max_df,tfidf_sublinear_tf,lr_C,lr_max_iter,lr_solver,rf_n_estimators,rf_max_depth,rf_min_samples_split,rf_max_features,gb_n_estimators,gb_learning_rate,gb_max_depth,gb_subsample,datetime,efficiency
balanced_configuration_results_20250819_024601.json,2025-08-19T02:46:01.106136,31.95,100000,30000,logistic_regression,LogisticRegression,0.9246,0.9026,0.022,0.9025,0.9026,9.57,10000,"[1, 2]",5,0.85,True,1.0,1500.0,liblinear,,,,,,,,,2025-08-19 02:46:01.106136,0.09431556948798328
balanced_configuration_results_20250819_024601.json,2025-08-19T02:46:01.106136,31.95,100000,30000,random_forest,RandomForestClassifier,0.8642,0.8476,0.0166,0.847,0.8472,10.28,10000,"[1, 2]",5,0.85,True,,,,150.0,20.0,5.0,log2,,,,,2025-08-19 02:46:01.106136,0.08245136186770428
balanced_configuration_results_20250819_024601.json,2025-08-19T02:46:01.106136,31.95,100000,30000,gradient_boosting,GradientBoostingClassifier,0.8135,0.8037,0.0098,0.8016,0.8021,11.38,10000,"[1, 2]",5,0.85,True,,,,,,,,150.0,0.1,4.0,0.8,2025-08-19 02:46:01.106136,0.07062390158172231
balanced_configuration_results_20250819_024930.json,2025-08-19T02:49:30.087242,63.0,200000,50000,logistic_regression,LogisticRegression,0.9305,0.9113,0.0192,0.9113,0.9113,18.88,20000,"[1, 2]",5,0.85,True,1.0,1500.0,liblinear,,,,,,,,,2025-08-19 02:49:30.087242,0.048268008474576275
balanced_configuration_results_20250819_024930.json,2025-08-19T02:49:30.087242,63.0,200000,50000,random_forest,RandomForestClassifier,0.8473,0.832,0.0153,0.8314,0.8316,20.04,20000,"[1, 2]",5,0.85,True,,,,150.0,20.0,5.0,log2,,,,,2025-08-19 02:49:30.087242,0.04151696606786427
balanced_configuration_results_20250819_024930.json,2025-08-19T02:49:30.087242,63.0,200000,50000,gradient_boosting,GradientBoostingClassifier,0.7764,0.7678,0.0086,0.7653,0.7657,22.54,20000,"[1, 2]",5,0.85,True,,,,,,,,150.0,0.1,4.0,0.8,2025-08-19 02:49:30.087242,0.034063886424134875
balanced_configuration_results_20250819_030058.json,2025-08-19T03:00:58.239598,30.11,100000,10000,logistic_regression,LogisticRegression,0.9322,0.9076,0.0246,0.9075,0.9076,9.27,20000,"[1, 2]",5,0.85,True,1.0,1500.0,liblinear,,,,,,,,,2025-08-19 03:00:58.239598,0.09790722761596549
balanced_configuration_results_20250819_030058.json,2025-08-19T03:00:58.239598,30.11,100000,10000,random_forest,RandomForestClassifier,0.8594,0.8439,0.0155,0.8434,0.8436,9.69,15000,"[1, 2]",5,0.85,True,,,,150.0,20.0,5.0,log2,,,,,2025-08-19 03:00:58.239598,0.08708978328173375
balanced_configuration_results_20250819_030058.json,2025-08-19T03:00:58.239598,30.11,100000,10000,gradient_boosting,GradientBoostingClassifier,0.8135,0.8028,0.0107,0.8006,0.8011,11.13,10000,"[1, 2]",5,0.85,True,,,,,,,,150.0,0.1,4.0,0.8,2025-08-19 03:00:58.239598,0.07212938005390834
balanced_configuration_results_20250819_030303.json,2025-08-19T03:03:03.647183,29.63,100000,10000,gradient_boosting,GradientBoostingClassifier,0.7757,0.7616,0.0141,0.7567,0.7576,10.9,20000,"[1, 2]",5,0.85,True,,,,,,,,150.0,0.1,4.0,0.8,2025-08-19 03:03:03.647183,0.06987155963302752
balanced_configuration_results_20250819_030303.json,2025-08-19T03:03:03.647183,29.63,100000,10000,random_forest,RandomForestClassifier,0.8556,0.8393,0.0163,0.8385,0.8388,9.62,20000,"[1, 2]",5,0.85,True,,,,150.0,20.0,5.0,log2,,,,,2025-08-19 03:03:03.647183,0.08724532224532226
balanced_configuration_results_20250819_030303.json,2025-08-19T03:03:03.647183,29.63,100000,10000,logistic_regression,LogisticRegression,0.9322,0.9076,0.0246,0.9075,0.9076,9.01,20000,"[1, 2]",5,0.85,True,1.0,1500.0,liblinear,,,,,,,,,2025-08-19 03:03:03.647183,0.10073251942286349
balanced_configuration_results_20250819_030547.json,2025-08-19T03:05:47.613154,30.87,100000,10000,logistic_regression,LogisticRegression,0.9141,0.8969,0.0172,0.8968,0.8969,9.13,10000,"[1, 2]",5,0.85,True,1.0,1500.0,liblinear,,,,,,,,,2025-08-19 03:05:47.613154,0.09823658269441402
balanced_configuration_results_20250819_030547.json,2025-08-19T03:05:47.613154,30.87,100000,10000,random_forest,RandomForestClassifier,0.8665,0.8464,0.0201,0.8456,0.8459,10.31,5000,"[1, 2]",5,0.85,True,,,,150.0,20.0,5.0,log2,,,,,2025-08-19 03:05:47.613154,0.08209505334626577
